,title,category,content
0,5G NR Antenna Ports,Layer 1: Physical Layer – PHY,"In 5G NR or 4G LTE, Multiple Input-Multiple Output (MIMO) transmission is a key technology specifically in downlink. Signals transmitted from gNB/eNB via different antennas or signals subjected to different and for the receiver unknown, multiple antenna precoding will experience different radio channels even if the MIMO antennas are located at the same site."
1,5G NR Antenna Port – Logical and Physical Antenna Mapping,Layer 1: Physical Layer – PHY,"Downlink multi-antenna transmission is a key technology of 5G NR. Signals transmitted from different antennas ports will experience different “radio channels” even if the set of antennas are located at the same site. In some cases, it is important that transmissions share the same antenna port."
2,5G NR Physical Layer Timing Unit,Layer 1: Physical Layer – PHY,"In 5G, New Radio the basic time unit is represented by Tc and as per 3GPP TS38.211 can be expression by following equation:"
3,"5G Subcarrier Spacing, Frame and Subframe, Slot and OFDM Symbol ",Layer 1: Physical Layer – PHY,"This post covers 5G Subcarrier spacing as compare to LTE, 5G Frame and Subframe, possibilities of different type of 5G NR slot depending upon the different subcarrier spacing and OFDM symbol."
4,Motivation Behind Having Multiple Numerology in 5G NR,Layer 1: Physical Layer – PHY,"Talking about numerology, as we know LTE has single subcarrier spacing equal to 15khz, but here in NR, we have multiple numerologies and those are represented by Greek letter µ. So 15khz will be the smallest subcarrier spacing and shown in the table we have wider subcarrier spacing."
5,5G NR Resource Block Definition and RB calculations,Layer 1: Physical Layer – PHY,Resource Block Definition
6,5G NR Modulation and Coding Scheme (MCS),Layer 1: Physical Layer – PHY,"For any communication technology, Modulation and Coding Scheme (MCS) defines the numbers of useful bits which can carried by one symbol. In contrast with 5G or 4G, a symbol is defined as Resource Element (RE) and MCS defined as how many useful bits can be transmitted per Resource Element (RE) . MCS depends on radio signal quality in wireless link, better quality the higher MCS and the more useful bits can be transmitted with in a symbol and bad signal quality result in  lower MCS means less useful data can be transmitted with in a symbol."
7,NR-Cell Physical Layer Cell ID,Layer 1: Physical Layer – PHY,"Like LTE, 5G NR also has synchronization signal and known as Primary Synchronization signal (PSS) and Secondary Synchronization signal (SSS). These signals are specific to NR physical layer and provides following information required by UE for downlink synchronization."
8,NR-Primary Synchronization Signal (PSS),Layer 1: Physical Layer – PHY,5G-NR Primary Synchronization Signal (PSS) is Physical Layer specific signal and help UE to get Radio Frame Boundary. It is type of an m-Sequence which is a special type of LFSR (Linear Feedback Shift Register) sequence provides the longest non-repeating sequence.
9,NR-Secondary Synchronization Signal (SSS),Layer 1: Physical Layer – PHY,"NR-Secondary Synchronization Signal:
5G-NR Secondary Synchronization Signal (SSS) is Physical Layer specific signal and help UE to get subframe boundary. It is similar to PSS, as it is also an m-Sequence."
10,5G NR SSB Positioning – Time and Frequency Resources,Layer 1: Physical Layer – PHY,"In 5G NR, Synchronization Signal Block (SSB) includes PSS, SSS and PBCH and its location compared to LTE is completed different. In LTE, Sync signal position is  straight forward located around DC carrier (Center 6 PRBS/72 subcarriers) but in 5G Sync signals are positioned on the Bandwidth part is not fixed and can be located any where across the Carrier Bandwidth."
11,5G NR pdcch-ConfigSIB1,Layer 1: Physical Layer – PHY,"In 5G, during initial network access, a UE does a completes a band scan for  SSB decodes the PBCH. The PBCH provides sufficient information lo allow the UE to proceed to decode System Information Block#1. SIB#1 information is transmitting on the PDSCH but these resources are indicated by PDCCH."
12,5G NR ControlResourceSetZero & SearchSpaceZero,Layer 1: Physical Layer – PHY,"In 5G, during initial network access, a UE does a completes a band scan for  SSB decodes the PBCH. The PBCH provides sufficient information lo allow the UE to proceed to decode System Information Block#1. SIB#1 information is transmitting on the PDSCH but these resources are indicated by PDCCH."
13,5G NR-PDCCH Channel Overview and Processing,Layer 1: Physical Layer – PHY,"The physical downlink control channel (PDCCH) in NR carries Downlink Control Information (DCI). In this post we will understand how PDCCH operates by describing its physical layer structure, and the carried information.  PDCCH channel is  referred to as the heart of NR air interface."
14,"5G NR Reference Signals (DMRS, PTRS, SRS and CSI-RS)",Layer 1: Physical Layer – PHY,"To increase protocol efficiency, and to keep transmissions contained within a slot or beam without having to depend on other slots and beams, NR introduces the following four main reference signals."
15,5G NR Sounding Reference Signal (NR-SRS),Layer 1: Physical Layer – PHY,In NR there are two types of Reference Signal in UL which gives information about the channel quality.
